date,temperature,humidity,windspeed,precipitation,weathercode,sunrise,sunset
2021-09-16,17.1,77,10.7,0.0,3,07:28,20:01
2021-09-17,16.9,74,10.5,0.0,3,07:30,19:59
2021-09-18,17.1,76,10.0,0.4,51,07:31,19:56
2021-09-19,17.3,80,21.1,0.8,51,07:33,19:54
2021-09-20,16.0,89,14.2,12.3,63,07:34,19:52
2021-09-21,14.3,75,15.8,0.0,3,07:36,19:50
2021-09-22,13.8,74,10.0,0.0,3,07:37,19:48
2021-09-23,14.9,77,10.8,0.0,3,07:38,19:46
2021-09-24,15.9,83,9.2,0.0,3,07:40,19:44
2021-09-25,16.4,82,13.4,0.5,51,07:41,19:42
2021-09-26,17.3,89,21.4,2.9,61,07:43,19:40
2021-09-27,15.9,83,23.1,3.6,61,07:44,19:38
2021-09-28,13.7,72,13.7,0.0,3,07:46,19:35
2021-09-29,13.3,72,24.0,4.9,61,07:47,19:33
2021-09-30,11.9,69,15.0,0.0,3,07:48,19:31
2021-10-01,12.8,74,24.1,4.9,61,07:50,19:29
2021-10-02,14.9,87,37.0,6.5,61,07:51,19:27
2021-10-03,15.4,82,37.3,20.8,63,07:53,19:25
2021-10-04,12.9,73,21.5,0.2,51,07:54,19:23
2021-10-05,13.4,81,34.8,5.6,61,07:56,19:21
2021-10-06,12.8,70,30.7,0.0,3,07:57,19:19
2021-10-07,12.0,82,11.0,0.0,3,07:59,19:17
2021-10-08,12.4,82,16.9,0.0,2,08:00,19:14
2021-10-09,12.4,82,14.8,0.0,0,08:02,19:12
2021-10-10,11.2,81,13.0,0.0,3,08:03,19:10
2021-10-11,12.6,77,16.8,0.0,3,08:05,19:08
2021-10-12,10.8,82,18.6,0.0,3,08:06,19:06
2021-10-13,9.9,79,12.0,0.0,3,08:08,19:04
2021-10-14,9.0,79,9.0,0.0,0,08:09,19:02
2021-10-15,10.6,83,9.4,0.0,3,08:11,19:01
2021-10-16,10.5,83,9.0,0.0,3,08:12,18:59
2021-10-17,9.2,78,12.3,0.0,3,08:14,18:57
2021-10-18,11.5,86,20.6,1.0,53,08:15,18:55
2021-10-19,17.6,74,18.8,2.4,61,08:17,18:53
2021-10-20,17.5,74,40.1,1.4,55,08:18,18:51
2021-10-21,11.1,80,50.7,5.5,63,08:20,18:49
2021-10-22,8.2,82,20.1,0.1,51,08:22,18:47
2021-10-23,9.9,78,11.3,0.1,51,08:23,18:45
2021-10-24,7.7,82,12.6,0.0,3,08:25,18:44
2021-10-25,10.6,83,16.1,2.2,53,08:26,18:42
2021-10-26,11.3,88,14.8,0.0,3,08:28,18:40
2021-10-27,11.2,86,12.0,0.0,3,08:29,18:38
2021-10-28,11.3,81,19.5,0.0,1,08:31,18:36
2021-10-29,12.9,80,28.8,5.6,61,08:33,18:35
2021-10-30,12.9,91,20.9,7.3,61,08:34,18:33
2021-10-31,12.1,89,29.6,3.4,63,08:36,18:31
2021-11-01,9.9,82,27.5,5.6,63,08:37,18:30
2021-11-02,8.9,83,17.6,1.0,51,08:39,18:28
2021-11-03,7.9,88,15.4,7.3,55,08:41,18:27
2021-11-04,7.0,87,21.6,0.9,51,08:42,18:25
2021-11-05,7.6,83,16.5,1.8,61,08:44,18:24
2021-11-06,5.5,85,13.9,0.0,3,08:45,18:22
2021-11-07,9.7,81,18.2,0.4,51,08:47,18:21
2021-11-08,7.8,83,10.9,0.0,3,08:48,18:19
2021-11-09,5.0,90,8.7,0.0,3,08:50,18:18
2021-11-10,4.3,91,6.7,0.0,3,08:52,18:16
2021-11-11,4.2,95,7.6,0.0,3,08:53,18:15
2021-11-12,5.9,88,18.1,0.0,3,08:55,18:14
2021-11-13,11.2,89,18.6,0.6,51,08:56,18:13
2021-11-14,10.1,89,17.7,0.1,51,08:58,18:11
2021-11-15,6.7,90,15.9,0.0,3,08:59,18:10
2021-11-16,7.0,86,9.8,0.1,51,09:01,18:09
2021-11-17,8.8,92,13.3,0.5,51,09:03,18:08
2021-11-18,5.4,95,8.5,0.0,3,09:04,18:07
2021-11-19,8.1,90,9.2,0.0,3,09:06,18:05
2021-11-20,8.1,92,9.0,0.0,3,09:07,18:04
2021-11-21,6.8,91,17.7,1.3,51,09:09,18:03
2021-11-22,4.6,84,28.6,0.0,3,09:10,18:03
2021-11-23,3.4,78,19.4,0.0,0,09:11,18:02
2021-11-24,3.9,92,14.0,0.0,3,09:13,18:01
2021-11-25,3.5,92,12.0,0.1,51,09:14,18:00
2021-11-26,4.4,90,32.2,2.2,55,09:16,17:59
2021-11-27,2.9,88,24.5,2.8,75,09:17,17:59
2021-11-28,3.8,82,30.8,1.4,73,09:18,17:58
2021-11-29,1.6,86,16.5,0.0,3,09:20,17:57
2021-11-30,5.6,85,27.4,3.0,61,09:21,17:57
2021-12-01,8.4,85,31.8,4.9,63,09:22,17:56
2021-12-02,3.7,82,24.6,0.6,51,09:24,17:56
2021-12-03,2.7,90,29.5,8.6,71,09:25,17:55
2021-12-04,8.7,86,31.9,6.2,63,09:26,17:55
2021-12-05,4.0,90,21.4,3.8,73,09:27,17:55
2021-12-06,4.8,90,27.1,4.4,61,09:28,17:54
2021-12-07,5.4,89,31.0,2.3,55,09:30,17:54
2021-12-08,4.6,84,24.5,1.0,53,09:31,17:54
2021-12-09,3.8,87,24.5,0.9,53,09:32,17:54
2021-12-10,5.9,81,32.4,11.9,63,09:33,17:54
2021-12-11,4.6,86,18.7,0.2,51,09:34,17:54
2021-12-12,8.3,94,17.2,0.5,51,09:35,17:54
2021-12-13,7.6,96,14.6,0.0,3,09:35,17:54
2021-12-14,4.9,96,6.3,0.0,3,09:36,17:54
2021-12-15,6.8,93,8.4,0.0,3,09:37,17:54
2021-12-16,7.2,92,12.0,0.0,3,09:38,17:54
2021-12-17,6.1,92,20.0,0.0,3,09:38,17:54
2021-12-18,4.6,92,13.9,0.0,3,09:39,17:55
2021-12-19,5.1,96,15.9,0.0,3,09:40,17:55
2021-12-20,4.9,86,17.3,0.2,51,09:40,17:56
2021-12-21,0.1,88,8.9,0.0,3,09:41,17:56
2021-12-22,-2.6,91,14.5,0.0,3,09:41,17:57
2021-12-23,3.1,88,17.4,0.0,3,09:42,17:57
2021-12-24,7.5,96,12.4,7.0,61,09:42,17:58
2021-12-25,8.0,96,12.8,0.7,53,09:43,17:59
2021-12-26,8.0,96,13.5,4.7,61,09:43,17:59
2021-12-27,9.3,92,26.4,4.5,55,09:43,18:00
2021-12-28,11.1,78,31.8,11.1,63,09:43,18:01
2021-12-29,12.2,88,25.0,4.9,53,09:43,18:02
2021-12-30,13.0,90,22.8,0.1,51,09:44,18:03
2021-12-31,10.6,92,16.4,0.0,3,09:44,18:03
2022-01-01,9.4,90,16.1,0.0,3,09:44,18:04
2022-01-02,11.6,79,28.0,1.2,55,09:44,18:05
2022-01-03,11.0,86,28.8,4.3,61,09:43,18:06
2022-01-04,8.9,90,28.0,18.4,63,09:43,18:07
2022-01-05,3.2,79,21.7,0.1,51,09:43,18:08
2022-01-06,2.2,83,18.2,0.1,51,09:43,18:10
2022-01-07,5.1,82,31.6,6.0,71,09:42,18:11
2022-01-08,5.8,90,34.8,9.8,61,09:42,18:12
2022-01-09,4.6,85,42.2,2.9,55,09:42,18:13
2022-01-10,2.7,94,11.2,0.0,3,09:41,18:15
2022-01-11,-0.2,92,10.0,0.0,3,09:41,18:16
2022-01-12,0.4,91,9.7,0.0,3,09:40,18:17
2022-01-13,2.3,94,10.5,0.0,3,09:40,18:19
2022-01-14,0.9,90,9.5,0.0,0,09:39,18:20
2022-01-15,0.6,95,11.2,0.0,3,09:38,18:21
2022-01-16,1.8,92,17.6,0.6,53,09:38,18:23
2022-01-17,5.2,93,12.4,0.1,51,09:37,18:24
2022-01-18,3.7,92,21.6,0.0,3,09:36,18:26
2022-01-19,4.1,92,17.1,2.0,55,09:35,18:27
2022-01-20,3.7,88,17.3,0.3,51,09:34,18:29
2022-01-21,2.6,89,13.2,0.0,3,09:33,18:30
2022-01-22,3.9,85,9.2,0.0,3,09:32,18:32
2022-01-23,3.8,84,11.3,0.2,51,09:31,18:33
2022-01-24,1.5,91,10.4,0.0,1,09:30,18:35
2022-01-25,-0.3,98,8.3,0.0,3,09:29,18:36
2022-01-26,1.0,95,12.1,0.0,3,09:28,18:38
2022-01-27,3.6,89,16.8,0.4,51,09:27,18:40
2022-01-28,5.2,92,13.4,0.1,51,09:26,18:41
2022-01-29,8.1,89,24.4,0.4,51,09:24,18:43
2022-01-30,7.8,83,16.6,0.3,51,09:23,18:45
2022-01-31,6.3,69,34.6,0.6,51,09:22,18:46
2022-02-01,6.0,85,23.9,0.8,51,09:20,18:48
2022-02-02,9.5,85,22.3,0.1,51,09:19,18:49
2022-02-03,6.5,86,16.3,0.0,3,09:18,18:51
2022-02-04,7.0,85,27.9,0.9,53,09:16,18:53
2022-02-05,5.4,78,20.6,0.0,3,09:15,18:54
2022-02-06,8.3,83,38.3,4.4,53,09:13,18:56
2022-02-07,6.5,73,29.3,0.2,51,09:12,18:58
2022-02-08,8.2,83,17.2,0.0,3,09:10,18:59
2022-02-09,5.3,89,9.0,0.0,3,09:09,19:01
2022-02-10,6.9,86,18.1,2.4,53,09:07,19:03
2022-02-11,3.5,84,14.3,0.0,3,09:05,19:04
2022-02-12,2.2,79,14.6,0.0,3,09:04,19:06
2022-02-13,5.9,75,30.9,0.0,3,09:02,19:08
2022-02-14,8.9,78,33.6,1.6,51,09:00,19:09
2022-02-15,6.8,86,27.9,1.3,51,08:59,19:11
2022-02-16,11.6,88,33.4,6.4,55,08:57,19:13
2022-02-17,11.5,69,34.2,0.6,51,08:55,19:14
2022-02-18,10.0,77,38.3,1.7,53,08:53,19:16
2022-02-19,6.1,67,33.8,0.5,51,08:52,19:17
2022-02-20,9.9,78,41.4,0.2,51,08:50,19:19
2022-02-21,8.0,70,48.2,2.2,53,08:48,19:21
2022-02-22,8.4,81,29.4,0.1,51,08:46,19:22
2022-02-23,7.8,83,16.0,0.1,51,08:44,19:24
2022-02-24,8.0,78,35.6,3.0,61,08:42,19:26
2022-02-25,5.2,70,24.7,0.5,51,08:40,19:27
2022-02-26,3.4,76,18.1,0.0,1,08:38,19:29
2022-02-27,3.8,65,16.9,0.0,0,08:36,19:30
2022-02-28,3.7,70,10.9,0.0,3,08:34,19:32
2022-03-01,5.2,76,7.3,0.3,51,08:32,19:34
2022-03-02,6.4,75,8.9,0.0,3,08:30,19:35
2022-03-03,7.8,88,12.4,0.4,51,08:29,19:37
2022-03-04,7.9,91,15.3,2.1,55,08:27,19:38
2022-03-05,7.0,82,10.5,0.0,3,08:25,19:40
